Price,Area,Location,No. of Bedrooms,Bathrooms,City
18500000.0,1034.0,Dinnur,5,5.0,Bengaluru
9131000.0,1710.0,Mysore Road,3,4.0,Bengaluru
5800000.0,957.0,Kannamangala,2,2.0,Bengaluru
4400000.0,1250.0, Devarachikkanahalli,3,2.0,Bengaluru
23500000.0,2795.0,Sanjeevini Nagar,3,4.0,Bengaluru
5000000.0,1125.0,Hulimavu,2,2.0,Bengaluru
3060000.0,1020.0,Electronic City Phase II,2,2.0,Bengaluru
5000000.0,1200.0,Kalena Agrahara,2,2.0,Bengaluru
13500000.0,1735.0,Thanisandra,3,3.0,Bengaluru
14500000.0,2050.0,Thanisandra,3,3.0,Bengaluru
4800000.0,1350.0,Yarandahalli,3,2.0,Bengaluru
3200000.0,1063.0,Hosa Road,2,2.0,Bengaluru
15000000.0,1904.0,Keshava Nagar,3,3.0,Bengaluru
17500000.0,2000.0,RMV Extension,3,3.0,Bengaluru
7500000.0,1425.0,Tejaswini Nagar,3,2.0,Bengaluru
6450000.0,1500.0,Electronic City,3,2.0,Bengaluru
6000000.0,1060.0,Electronic City,2,2.0,Bengaluru
7000000.0,1470.0,Jai Bheema Nagar,3,2.0,Bengaluru
9900000.0,1300.0,Kothnur Narayanapura,6,6.0,Bengaluru
1100000.0,450.0,Attibele,1,1.0,Bengaluru
6450000.0,1152.0,Electronic City,2,2.0,Bengaluru
5600000.0,1350.0,Electronic City,3,2.0,Bengaluru
6500000.0,1550.0,CV Raman Nagar,3,3.0,Bengaluru
10000000.0,1500.0,CHIKKATIRUPATHI,3,3.0,Bengaluru
8500000.0,600.0,Kumaraswami Layout,3,3.0,Bengaluru
1400000.0,400.0,Nagavara,1,1.0,Bengaluru
6700000.0,705.0,Malleshwaram,1,1.0,Bengaluru
3600000.0,770.0,Electronic City,2,1.0,Bengaluru
5100000.0,1242.0,Hulimavu,2,2.0,Bengaluru
15500000.0,1700.0,Hebbal Kempapura,3,3.0,Bengaluru
14500000.0,2144.0,Thanisandra,3,3.0,Bengaluru
11000000.0,1704.0,Vijayanagar,3,3.0,Bengaluru
5200000.0,1070.0,Electronic City,2,2.0,Bengaluru
5570000.0,1340.0,Jakkuru Layout,2,2.0,Bengaluru
4600000.0,1025.0,Electronic City,2,2.0,Bengaluru
5200000.0,1200.0,Marathahalli,2,2.0,Bengaluru
11000000.0,2250.0,Kanakpura Road,4,4.0,Bengaluru
8000000.0,1550.0,Pattandur Agrahara,3,2.0,Bengaluru
6000000.0,1200.0,Marathahalli,2,2.0,Bengaluru
9800000.0,1327.0,Yelahanka,2,2.0,Bengaluru
5800000.0,1186.0,Kothanur,2,2.0,Bengaluru
11500000.0,1783.0,MS Pallya,3,3.0,Bengaluru
5600000.0,1400.0,HSR Layout,3,3.0,Bengaluru
4800000.0,980.0,Nagasandra,2,2.0,Bengaluru
8200000.0,1285.0,EPIP Zone,2,2.0,Bengaluru
7000000.0,912.0,Langford Town,3,2.0,Bengaluru
4760000.0,1225.0,Whitefield,2,2.0,Bengaluru
5300000.0,1075.0,Whitefield,2,2.0,Bengaluru
5400000.0,1260.0,Kadugodi,3,2.0,Bengaluru
4870000.0,1282.0,Yelahanka,3,2.0,Bengaluru
8800000.0,1909.0,Kogilu,3,3.0,Bengaluru
8700000.0,1359.0,Panathur,2,2.0,Bengaluru
4350000.0,1207.0,Nagondanahalli,2,2.0,Bengaluru
19000000.0,1736.0,Padmanabhanagar,6,6.0,Bengaluru
6500000.0,1595.0,Kammasandra,3,3.0,Bengaluru
8900000.0,1798.0,"Off Sarjapur Road, ",3,3.0,Bengaluru
7829000.000000001,1475.0,Electronics City Phase 1,3,3.0,Bengaluru
10000000.0,1580.0,Tala Cauvery Layout,3,3.0,Bengaluru
6500000.0,1295.0,Dasarahalli,2,2.0,Bengaluru
14100000.0,3600.0,Magadi Road,6,6.0,Bengaluru
2700000.0,589.0,Electronic City,1,1.0,Bengaluru
7800000.0,1415.0,Ngef Layout,3,3.0,Bengaluru
9829000.0,1787.0,Sarjapur  Road,3,3.0,Bengaluru
12500000.0,1787.0,Sarjapur  Road,3,3.0,Bengaluru
9000000.0,1475.0,Koramangala,3,2.0,Bengaluru
7550000.0,2000.0,"Lakshminarayanapura, Electronic City Phase 2",4,4.0,Bengaluru
4428000.0,984.0,Sarjapur  Road,2,2.0,Bengaluru
7200000.0,1080.0,7th Phase JP Nagar,2,2.0,Bengaluru
11500000.0,1500.0,Shantiniketan Layout,2,2.0,Bengaluru
11900000.0,1900.0,Hebbal,3,3.0,Bengaluru
2214000.0,805.0,Dommasandra,2,2.0,Bengaluru
5640000.0,1153.0,Budigere,2,2.0,Bengaluru
6000000.0,1148.0,Dodda Nekkundi Extension,2,2.0,Bengaluru
5500000.0,1110.0,Mylasandra,2,2.0,Bengaluru
4200000.0,1100.0,Electronic City,2,2.0,Bengaluru
11000000.0,1290.0,Kalyan nagar,2,2.0,Bengaluru
6500000.0,1500.0,Dr Shivarama Karantha Nagar,3,2.0,Bengaluru
3900000.0,1080.0,Bank Of Baroda Colony,2,2.0,Bengaluru
12900000.0,1933.0,Vijayanagar,3,3.0,Bengaluru
15000000.0,3500.0,Ramamurthy Nagar,5,5.0,Bengaluru
6000000.0,1060.0,Kullappa Colony,2,2.0,Bengaluru
1645000.0,645.0,Chandapura,1,1.0,Bengaluru
8400000.0,1644.0,Ashwath Nagar,3,3.0,Bengaluru
7250000.0,1285.0,Ncpr Industrial Layout,2,2.0,Bengaluru
9000000.0,1200.0,Electronic City,3,3.0,Bengaluru
4000000.0,910.0,Electronic City,2,2.0,Bengaluru
7000000.0,1577.0,Kothanur,3,3.0,Bengaluru
18500000.0,2420.0,OMBR Layout,3,3.0,Bengaluru
2000000.0,800.0,Chandapura,2,1.0,Bengaluru
5500000.0,1060.0,Anand Nagar,2,2.0,Bengaluru
9300000.0,1270.0,7th Phase JP Nagar,2,2.0,Bengaluru
2250000.0,900.0,Shree Ananth Nagar Layout,2,2.0,Bengaluru
6900000.0,1280.0,Kundalahalli Colony,2,2.0,Bengaluru
9500000.0,1200.0,Horamavu Agara,2,2.0,Bengaluru
3600000.0,1025.0,Sarjapur  Road,2,2.0,Bengaluru
6300000.0,1108.0,Electronic City,2,2.0,Bengaluru
17000000.0,1200.0,MCECHS  layout,5,5.0,Bengaluru
17000000.0,3045.0,Coffee Board Layout,3,3.0,Bengaluru
7550000.0,1500.0,Vijayanagar,3,3.0,Bengaluru
4390000.0,1295.0,Raja Rajeshwari Nagar,2,2.0,Bengaluru
5990000.0,1162.0,Budigere,2,2.0,Bengaluru
4920000.0,1035.0,Sarjapur  Road,2,2.0,Bengaluru
5280000.0,1600.0,Attibele,4,4.0,Bengaluru
4600000.0,1464.0,KUDLU MAIN ROAD,3,3.0,Bengaluru
6158000.0,1866.0,Hennur Road,3,2.0,Bengaluru
2600000.0,700.0,Geleyara Balaga Layout,2,1.0,Bengaluru
12000000.0,1804.0,Kalena Agrahara,3,3.0,Bengaluru
3200000.0,913.0,Sarjapur,2,2.0,Bengaluru
13100000.0,1868.0,Talaghattapura,3,3.0,Bengaluru
4500000.0,883.0,Kengeri Satellite Town,2,2.0,Bengaluru
11000000.0,900.0,Sundara Nagar,2,2.0,Bengaluru
7395000.0,1664.0,Kogilu,3,2.0,Bengaluru
13200000.0,2026.0,Hegde Nagar,3,3.0,Bengaluru
8090000.000000001,1210.0,Balagere,2,2.0,Bengaluru
9145000.0,1762.0,Kadugodi,3,3.0,Bengaluru
5500000.0,1252.0,Jigani,3,3.0,Bengaluru
3450000.0,861.0,Gollarapalya Hosahalli,2,2.0,Bengaluru
10000000.0,1420.0,7th Phase JP Nagar,3,2.0,Bengaluru
7880000.0,1490.0,Electronics City Phase 1,3,3.0,Bengaluru
4600000.0,1075.0,Bisuvanahalli,3,2.0,Bengaluru
9400000.0,1425.0,Old Madras Road,3,2.0,Bengaluru
4000000.0,1200.0,Kalena Agrahara,2,2.0,Bengaluru
5600000.0,1280.0,Kaggadasapura,3,2.0,Bengaluru
5000000.0,1084.0,Silver Springs Layout,2,2.0,Bengaluru
2588000.0,1015.0,Chandapura,2,2.0,Bengaluru
5125000.0,1017.0,Kanakpura Road,2,2.0,Bengaluru
4400000.0,1027.0,Haralur Road,2,2.0,Bengaluru
4500000.0,1069.0,Electronic City Phase II,2,2.0,Bengaluru
9820000.0,1349.0,Hebbal,2,2.0,Bengaluru
5000000.0,1005.0,9th Phase JP Nagar,2,2.0,Bengaluru
7500000.0,1417.0,Jakkur,2,2.0,Bengaluru
9800000.0,1475.0,TC Palaya,3,3.0,Bengaluru
4700000.0,950.0,Maruthi Sevanagar,2,2.0,Bengaluru
12000000.0,2000.0,RMV 2nd Stage,4,4.0,Bengaluru
14000000.0,880.0,Giri Nagar,3,3.0,Bengaluru
10400000.0,1863.0,Sarjapur  Road,4,3.0,Bengaluru
2950000.0,1010.0,Singasandra,2,2.0,Bengaluru
7000000.0,1425.0,Kalena Agrahara,3,2.0,Bengaluru
10000000.0,1450.0,Vijayanagar,3,3.0,Bengaluru
10500000.0,1847.0,Kothanur,3,3.0,Bengaluru
4500000.0,1100.0,AECS Layout,2,2.0,Bengaluru
2600000.0,525.0,Kanakpura Road,1,1.0,Bengaluru
9500000.0,1665.0,Mallasandra,3,3.0,Bengaluru
6500000.0,1664.0,Begur,4,4.0,Bengaluru
15000000.0,1850.0,JP Nagar,3,3.0,Bengaluru
10000000.0,1438.0,Panathur,2,2.0,Bengaluru
11500000.0,1560.0,Sunder Ram Shetty Nagar,3,3.0,Bengaluru
5555000.0,1350.0,Yelahanka,2,2.0,Bengaluru
6700000.0,1550.0,Kanakpura Road,3,3.0,Bengaluru
4650000.0,1140.0,Malleshpalya,2,2.0,Bengaluru
18000000.0,1200.0,Srirampura,5,5.0,Bengaluru
2700000.0,850.0,Kodathi,2,2.0,Bengaluru
7500000.0,1280.0,Whitefield,2,2.0,Bengaluru
5200000.0,1170.0,Munnekollal,2,2.0,Bengaluru
5100000.0,1113.0,Motappa Layout,2,2.0,Bengaluru
8309000.0,1385.0,Hennur Road,2,2.0,Bengaluru
6500000.0,1128.0,Electronic City,2,2.0,Bengaluru
12800000.0,1200.0,Marathahalli,2,2.0,Bengaluru
16500000.0,1200.0,Akshaya Vana,4,4.0,Bengaluru
5600000.0,1464.0,Haralur Road,3,3.0,Bengaluru
5500000.0,1200.0,Manayata Tech Park,2,2.0,Bengaluru
5200000.0,1200.0,Kaval Byrasandra,2,2.0,Bengaluru
5500000.0,1150.0,Kaggalipura,3,2.0,Bengaluru
9500000.0,1645.0,Basavanna Nagar,3,3.0,Bengaluru
6700000.0,1000.0,Sarjapur  Road,2,2.0,Bengaluru
19800000.0,2650.0,Haralur Road,4,4.0,Bengaluru
7400000.0,1192.0,6th Phase JP Nagar,2,2.0,Bengaluru
21500000.0,2135.0,Ulsoor,3,3.0,Bengaluru
5800000.0,1173.0,Whitefield,2,2.0,Bengaluru
4500000.0,1020.0,Uttarahalli,2,2.0,Bengaluru
23000000.0,3122.0,Thigalarapalya,4,6.0,Bengaluru
6400000.0,1600.0,Somasundara Palya,3,3.0,Bengaluru
7900000.0,1200.0,T.C PALYA,2,2.0,Bengaluru
4800000.0,1230.0,Muneshwara Nagar,2,2.0,Bengaluru
4000000.0,1250.0, Devarachikkanahalli,2,2.0,Bengaluru
7600000.0,1325.0,Kalena Agrahara,2,2.0,Bengaluru
15000000.0,1850.0,7th Phase JP Nagar,3,3.0,Bengaluru
2153000.0,525.0,Kanakpura Road,1,1.0,Bengaluru
6500000.0,1200.0,Basaveshwara Nagar,2,2.0,Bengaluru
14000000.0,1350.0,Bull Temple Road,2,2.0,Bengaluru
4936000.0,1260.0,Bommasandra,3,3.0,Bengaluru
15000000.0,1800.0,Prashanth Nagar,3,3.0,Bengaluru
7400000.0,11.0,Suragajakkanahalli,3,3.0,Bengaluru
4325000.0,1100.0,Ardendale,2,2.0,Bengaluru
7700000.0,1508.0,Harlur,2,2.0,Bengaluru
7500000.0,1592.0,Sampigehalli,3,3.0,Bengaluru
5700000.0,1388.0,Akshaya Nagar,2,2.0,Bengaluru
2835000.0,630.0,Electronic City Phase II,1,1.0,Bengaluru
12500000.0,1762.0,Banashankari3rd stage bigbazar,3,3.0,Bengaluru
5000000.0,950.0,Bagalur Main Road,2,2.0,Bengaluru
5000000.0,1116.0,Magadi Road,2,2.0,Bengaluru
8904000.0,1308.0,Narayanapura,2,2.0,Bengaluru
9000000.0,1200.0,MS Pallya,3,3.0,Bengaluru
23000000.0,1500.0,Binny Mills Employees Colony,4,4.0,Bengaluru
1850000.0,500.0,Bannerghatta Road,1,1.0,Bengaluru
5200000.0,1075.0,Hennur,2,2.0,Bengaluru
1166000.0,530.0,Chandapura,1,1.0,Bengaluru
6600000.0,1205.0,Bellandur,2,2.0,Bengaluru
6000000.0,1075.0,5th Phase JP Nagar,2,2.0,Bengaluru
3900000.0,930.0,KR Puram,2,2.0,Bengaluru
6000000.0,1380.0,Balagere,2,2.0,Bengaluru
21200000.0,2483.0,Hebbal,4,5.0,Bengaluru
5500000.0,1166.0,Kodigehaali,2,2.0,Bengaluru
6500000.0,1050.0,Bannerghatta Road,2,2.0,Bengaluru
4680000.0,1200.0,Begur Road,2,2.0,Bengaluru
10800000.0,1600.0,Lakshminarayana Pura,3,2.0,Bengaluru
11000000.0,1935.0,Billekahalli,3,3.0,Bengaluru
2990000.0,451.0,8th Phase JP Nagar,1,1.0,Bengaluru
9500000.0,1800.0,Electronic City,3,3.0,Bengaluru
7700000.0,1400.0,Jalahalli,3,3.0,Bengaluru
11500000.0,1801.0,Hegde Nagar,3,3.0,Bengaluru
9000000.0,1451.0,Mahadevpura,2,2.0,Bengaluru
3600000.0,1200.0,Anekal,1,1.0,Bengaluru
4400000.0,1160.0,Begur Road,2,2.0,Bengaluru
2500000.0,1000.0,Kengeri,2,2.0,Bengaluru
4000000.0,950.0,Kanakpura Road,2,2.0,Bengaluru
7900000.0,1629.0,"Hoodi Circle, ",3,3.0,Bengaluru
13400000.0,1580.0,Vijayanagar,3,2.0,Bengaluru
12100000.0,1826.0,Vijayanagar,3,3.0,Bengaluru
9400000.0,1245.0,7th Phase JP Nagar,2,2.0,Bengaluru
4579000.0,1145.0,Raja Rajeshwari Nagar,2,2.0,Bengaluru
3300000.0,825.0,Sompura,2,2.0,Bengaluru
10800000.0,1693.0,Yeshwanthpur,3,3.0,Bengaluru
5300000.0,1113.27,Electronics City Phase 1,2,2.0,Bengaluru
5800000.0,1460.0,Ashirvad Colony,2,2.0,Bengaluru
3200000.0,1050.0,Doddathoguru,2,2.0,Bengaluru
5500000.0,1260.0,Dodda Nekkundi,2,2.0,Bengaluru
12000000.0,700.0,K N Extension,6,3.0,Bengaluru
12000000.0,1656.0,Hosur Road,2,2.0,Bengaluru
4500000.0,1208.0,Chandapura,3,3.0,Bengaluru
16100000.0,1910.0,Whitefield,3,3.0,Bengaluru
23000000.0,3252.0,Whitefield,4,4.0,Bengaluru
6500000.0,1200.0,Battarahalli,2,2.0,Bengaluru
17500000.0,1200.0,Gokula Extension,4,4.0,Bengaluru
8200000.0,1175.0,7th Phase JP Nagar,2,2.0,Bengaluru
16500000.0,1000.0,Kamakshipalya,2,2.0,Bengaluru
12500000.0,1200.0,Bannerghatta Road,2,2.0,Bengaluru
6200000.0,550.0,Sultan Palaya,1,1.0,Bengaluru
3800000.0,1185.0,Sanne Amanikere,2,2.0,Bengaluru
3800000.0,750.0,Kengeri,2,2.0,Bengaluru
6450000.0,1550.0,Kanakpura Road,3,3.0,Bengaluru
8800000.0,1760.0,Amco Colony,3,3.0,Bengaluru
6200000.0,1125.0,Billekahalli,2,2.0,Bengaluru
15000000.0,1350.0,Nagarbhavi,3,3.0,Bengaluru
5500000.0,1000.0,Anandapura,2,2.0,Bengaluru
3148000.0,1090.0,Bommasandra Industrial Area,2,2.0,Bengaluru
6000000.0,1200.0,TC Palaya,2,2.0,Bengaluru
10300000.0,1991.0,Budigere,3,4.0,Bengaluru
2650000.0,1060.0,Bommasandra,2,2.0,Bengaluru
7500000.0,1105.0,Ambalipura,2,2.0,Bengaluru
6700000.0,985.0,Hoodi,2,2.0,Bengaluru
8500000.0,1533.0,Chandapura,5,5.0,Bengaluru
7900000.0,1590.0,Balagere,3,3.0,Bengaluru
5500000.0,1120.0,CV Raman Nagar,2,2.0,Bengaluru
5500000.0,1069.0,Samethanahalli,2,2.0,Bengaluru
14000000.0,1933.0,Marathahalli,3,3.0,Bengaluru
6900000.0,1194.0,Hosur Road,2,2.0,Bengaluru
6900000.0,1150.0,Brookefield,2,2.0,Bengaluru
4712000.0,1240.0,Yelenahalli,2,2.0,Bengaluru
4810000.0,1419.0,Raja Rajeshwari Nagar,2,2.0,Bengaluru
24000000.0,2150.0,Richmond Town,3,4.0,Bengaluru
5500000.0,1450.0,Suddaguntepalya,3,3.0,Bengaluru
6829000.000000001,1630.0,Udayapur Village,3,3.0,Bengaluru
4000000.0,708.0,Dasanapura,2,1.0,Bengaluru
11000000.0,1000.0,Kasavanhalli,4,4.0,Bengaluru
7600000.0,1250.0,Bellandur,2,2.0,Bengaluru
9500000.0,1400.0,7th Phase JP Nagar,3,2.0,Bengaluru
5700000.0,1670.0,Sarjapur  Road,3,2.0,Bengaluru
10000000.0,1750.0,Ardendale,3,3.0,Bengaluru
7100000.0,1404.0,Vittasandra,2,2.0,Bengaluru
9500000.0,1715.0,Hoodi,3,2.0,Bengaluru
3465000.0,630.0,Electronic City,1,1.0,Bengaluru
13500000.0,1752.12,Harlur,3,3.0,Bengaluru
7800000.0,1650.0,Hulimavu,3,3.0,Bengaluru
5547000.0,1295.0,Raja Rajeshwari Nagar,2,2.0,Bengaluru
7403000.0,1346.0,Sarjapur  Road,2,2.0,Bengaluru
20000000.0,1200.0,Thippasandra,4,4.0,Bengaluru
5500000.0,1150.0,Hormavu,2,2.0,Bengaluru
3035000.0,1190.0,Chandapura,3,2.0,Bengaluru
9800000.0,1620.0,AECS Layout,3,3.0,Bengaluru
4696000.0,950.0,Marathahalli,2,2.0,Bengaluru
12000000.0,2450.0,Harlur,3,3.0,Bengaluru
3522999.9999999995,1220.0,Electronic City Phase II,3,2.0,Bengaluru
3000000.0,850.0,Hoysalanagar,2,2.0,Bengaluru
6300000.0,1020.0,Padmanabhanagar,2,2.0,Bengaluru
5000000.0,1100.0,Chikkalasandra,2,2.0,Bengaluru
12600000.0,1150.0,Defence Colony,2,2.0,Bengaluru
13000000.0,1760.0,Hebbal,3,2.0,Bengaluru
11000000.0,1800.0,Ambalipura,3,3.0,Bengaluru
5400000.0,1070.0,Akshaya Nagar,2,2.0,Bengaluru
22000000.0,1500.0,2nd Stage Nagarbhavi,4,4.0,Bengaluru
9500000.0,1440.0,Vidyaranyapura,2,2.0,Bengaluru
4000000.0,900.0,Amruthahalli,2,2.0,Bengaluru
23000000.0,1200.0,ITI Employees Layout,4,4.0,Bengaluru
4216000.0,1130.0,Whitefield,2,2.0,Bengaluru
16500000.0,1320.0,Koramangala,2,2.0,Bengaluru
9800000.0,1270.0,Kodigehalli,2,2.0,Bengaluru
6200000.0,1200.0,Patelappa Layout,2,2.0,Bengaluru
23500000.0,4800.0,Ring Road Nagarbhavi,4,4.0,Bengaluru
7400000.0,1200.0,NS Palya,2,2.0,Bengaluru
5017000.0,929.0,Subramanyapura,2,2.0,Bengaluru
18000000.0,1125.0,Basavangudi,4,4.0,Bengaluru
